hour,total_users,present_users,missing_users,weather_data_missing,weather_data_present_but_solar_missing,postal_missing,user_lookup_failed
00,9,8,1,0,1,0,0
01,9,7,2,0,2,0,0
02,9,8,1,0,1,0,0
03,9,7,2,0,2,0,0
04,9,8,1,0,1,0,0
05,9,0,9,9,0,0,0
06,9,0,9,9,0,0,0
07,9,0,9,9,0,0,0
08,9,0,9,9,0,0,0
09,9,0,9,9,0,0,0
10,9,0,9,9,0,0,0
11,9,0,9,9,0,0,0
12,9,0,9,9,0,0,0
13,9,0,9,9,0,0,0
14,9,0,9,9,0,0,0
15,9,0,9,9,0,0,0
16,9,0,9,9,0,0,0
17,9,0,9,9,0,0,0
18,9,0,9,9,0,0,0
19,9,0,9,9,0,0,0
20,9,0,9,9,0,0,0
21,9,0,9,9,0,0,0
22,9,0,9,9,0,0,0
23,9,0,9,9,0,0,0
